class,uid,assigned_type,assigned_key,call_offset,UID,Skill,Aggression,SkillIntermediate,SkillPlate,SkillRoadCourse,SkillShort,SkillSuperSpeedway
AIRACEDRIVERPROFILE_c,3228,,3228,0x37E,3228,1.0,0.5,0.5,0.5,0.5,0.5,0.5
AIRACEDRIVERPROFILE_c,3229,,3229,0x3A2,3229,0.692,0.5,0.6,0.71,0.31,0.57,0.51
AIRACEDRIVERPROFILE_c,3230,,3230,0x3C6,3230,0.724,0.6,0.62,0.69,0.65,0.7,0.63
AIRACEDRIVERPROFILE_c,3231,,3231,0x3EA,3231,0.867,0.7,0.76,0.94,0.94,0.69,0.81
AIRACEDRIVERPROFILE_c,3232,,3232,0x40E,3232,0.672,0.5,0.84,0.67,0.39,0.67,0.83
AIRACEDRIVERPROFILE_c,3233,,3233,0x432,3233,0.487,0.6,0.57,0.74,0.25,0.51,0.55
AIRACEDRIVERPROFILE_c,3234,,3234,0x456,3234,0.256,0.7,0.1,0.34,0.64,0.16,0.12
AIRACEDRIVERPROFILE_c,3235,,3235,0x47A,3235,0.744,0.6,0.95,0.84,0.66,0.78,0.95
AIRACEDRIVERPROFILE_c,3236,,3236,0x49E,3236,0.823,0.7,0.92,0.87,0.78,1.0,0.91
AIRACEDRIVERPROFILE_c,3237,,3237,0x4C2,3237,0.486,0.8,0.99,0.81,0.91,0.84,0.99
AIRACEDRIVERPROFILE_c,3238,,3238,0x4E6,3238,0.089,0.4,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3239,,3239,0x50A,3239,0.808,0.8,0.93,1.0,0.98,0.87,0.98
AIRACEDRIVERPROFILE_c,3240,,3240,0x52E,3240,0.768,0.6,1.0,0.95,0.95,0.79,0.99
AIRACEDRIVERPROFILE_c,3241,,3241,0x552,3241,0.694,0.6,1.0,1.0,0.49,0.94,1.0
AIRACEDRIVERPROFILE_c,3242,,3242,0x576,3242,0.855,0.8,0.96,0.92,0.99,1.0,1.0
AIRACEDRIVERPROFILE_c,3243,,3243,0x59A,3243,0.386,0.5,0.41,0.66,0.36,0.22,0.34
AIRACEDRIVERPROFILE_c,3244,,3244,0x5BE,3244,0.618,0.7,0.76,0.9,0.56,0.65,0.64
AIRACEDRIVERPROFILE_c,3245,,3245,0x5E2,3245,0.972,0.6,0.89,0.97,0.83,0.98,0.95
AIRACEDRIVERPROFILE_c,3246,,3246,0x606,3246,0.882,0.8,0.85,0.94,0.78,0.91,0.93
AIRACEDRIVERPROFILE_c,3247,,3247,0x62A,3247,0.927,0.5,0.7,0.96,0.61,0.77,0.77
AIRACEDRIVERPROFILE_c,3248,,3248,0x64E,3248,0.781,0.5,0.74,0.98,0.86,0.76,0.89
AIRACEDRIVERPROFILE_c,3249,,3249,0x672,3249,0.208,0.4,0.13,0.33,0.13,0.2,0.22
AIRACEDRIVERPROFILE_c,3250,,3250,0x696,3250,0.204,0.3,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3251,,3251,0x6BA,3251,0.079,0.4,0.01,0.05,0.05,0.04,0.08
AIRACEDRIVERPROFILE_c,3252,,3252,0x6DE,3252,0.198,0.3,0.16,0.48,0.32,0.23,0.17
AIRACEDRIVERPROFILE_c,3253,,3253,0x702,3253,0.654,0.8,0.69,0.56,0.6,0.82,0.75
AIRACEDRIVERPROFILE_c,3254,,3254,0x726,3254,0.836,0.9,0.6,0.82,0.98,0.71,0.78
AIRACEDRIVERPROFILE_c,3255,,3255,0x74A,3255,0.635,0.5,0.65,0.5,0.79,0.65,0.63
AIRACEDRIVERPROFILE_c,3256,,3256,0x76E,3256,0.528,0.5,0.85,0.85,1.0,0.5,0.84
AIRACEDRIVERPROFILE_c,3257,,3257,0x792,3257,1.0,0.8,1.0,1.0,0.97,1.0,1.0
AIRACEDRIVERPROFILE_c,3258,,3258,0x7B6,3258,0.056,0.3,0.04,0.1,0.07,0.08,0.07
AIRACEDRIVERPROFILE_c,3259,,3259,0x7DA,3259,0.673,0.5,0.94,0.92,0.85,0.9,0.95
AIRACEDRIVERPROFILE_c,3260,,3260,0x7FE,3260,0.058,0.3,0.11,0.29,0.14,0.21,0.14
AIRACEDRIVERPROFILE_c,3261,,3261,0x822,3261,0.451,0.5,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3262,,3262,0x846,3262,0.353,0.5,0.46,0.76,0.3,0.51,0.5
AIRACEDRIVERPROFILE_c,3263,,3263,0x86A,3263,0.391,0.8,0.29,0.63,0.26,0.18,0.33
AIRACEDRIVERPROFILE_c,3264,,3264,0x88E,3264,0.07,0.3,0.02,0.12,0.0,0.03,0.07
AIRACEDRIVERPROFILE_c,3265,,3265,0x8B2,3265,0.637,0.6,0.99,1.0,0.73,0.92,1.0
AIRACEDRIVERPROFILE_c,3266,,3266,0x8D6,3266,0.514,0.5,0.6,0.88,0.45,0.52,0.64
AIRACEDRIVERPROFILE_c,3267,,3267,0x8FA,3267,0.738,0.8,0.93,1.0,0.74,0.93,0.92
AIRACEDRIVERPROFILE_c,3354,,3354,0x91E,3354,0.024,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3355,,3355,0x942,3355,0.7,0.7,0.33,0.77,0.13,0.4,0.2
AIRACEDRIVERPROFILE_c,3356,,3356,0x966,3356,0.114,0.4,0.17,0.57,0.26,0.15,0.24
AIRACEDRIVERPROFILE_c,3357,,3357,0x98A,3357,0.546,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3358,,3358,0x9AE,3358,0.312,0.4,0.28,0.3,0.16,0.14,0.39
AIRACEDRIVERPROFILE_c,3359,,3359,0x9D2,3359,0.201,0.5,0.06,0.18,0.13,0.16,0.13
AIRACEDRIVERPROFILE_c,3360,,3360,0x9F6,3360,0.277,0.5,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3361,,3361,0xA1A,3361,0.221,0.3,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3362,,3362,0xA3E,3362,0.217,0.3,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3363,,3363,0xA62,3363,0.053,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3364,,3364,0xA86,3364,0.392,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3365,,3365,0xAAA,3365,0.241,0.3,0.22,0.71,0.18,0.32,0.25
AIRACEDRIVERPROFILE_c,3366,,3366,0xACE,3366,0.074,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3367,,3367,0xAF2,3367,0.227,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3368,,3368,0xB16,3368,0.053,0.3,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3369,,3369,0xB3A,3369,0.208,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3370,,3370,0xB5E,3370,0.1,0.3,0.05,0.07,0.06,0.04,0.07
AIRACEDRIVERPROFILE_c,3371,,3371,0xB82,3371,0.034,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3372,,3372,0xBA6,3372,0.353,0.6,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3373,,3373,0xBCA,3373,0.055,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3374,,3374,0xBEE,3374,0.0,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3375,,3375,0xC12,3375,0.249,0.4,0.26,0.49,0.33,0.33,0.26
AIRACEDRIVERPROFILE_c,3376,,3376,0xC36,3376,0.184,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3377,,3377,0xC5A,3377,0.237,0.4,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3378,,3378,0xC7E,3378,0.305,0.5,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3379,,3379,0xCA2,3379,0.595,0.6,0.6,0.64,0.41,0.56,0.66
AIRACEDRIVERPROFILE_c,3380,,3380,0xCC6,3380,0.655,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,3381,,3381,0xCEA,3381,0.315,0.0,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,6920,,6920,0xD0E,6920,0.003,0.3,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,6921,,6921,0xD32,6921,0.643,0.3,0.65,0.9,0.37,0.4,0.65
AIRACEDRIVERPROFILE_c,6922,,6922,0xD56,6922,0.147,0.8,0.43,0.47,0.49,0.39,0.48
AIRACEDRIVERPROFILE_c,6923,,6923,0xD7A,6923,0.003,0.3,1.0,1.0,1.0,1.0,1.0
AIRACEDRIVERPROFILE_c,12391,,12391,0xD9E,12391,0.5,0.5,0.79,0.51,0.36,0.78,0.79
AIRACEDRIVERPROFILE_c,12392,,12392,0xDC2,12392,0.5,0.5,0.05,0.07,0.0,0.0,0.07
AIRACEDRIVERPROFILE_c,13107,,13107,0xDE6,13107,0.5,0.3,0.79,0.9,0.7,0.7,0.79
AIRACEDRIVERPROFILE_c,18354,,18354,0xE0A,18354,0.5,0.6,0.29,0.33,0.23,0.32,0.29
