class,uid,assigned_type,assigned_key,call_offset,UID,FormationOffsetDirection,TurnOneBearsLeft,UsePenaltySystem,BumpDraftingEnabled,BumpDraftingConsiderGearing,PABBMaxInflationZ,BumpDraftingMaxPackSize,BumpDraftingRoadStraightness,CatchupWantSpeedModifier0,CatchupWantSpeedModifier1,CatchupWantSpeedModifier2,CatchupWantSpeedModifier3,UseDrivingControllerSmoothing,PacecarIgnorePitEntryTripwire,HasDoubleYellowLine,BumpdraftPlayerRoadStraightness,PitStrategy100PitChance,PitStrategy100FuelOnlyChance,PitStrategy100TwoTyresChance,PitStrategy100FourTyresChance,PitStrategy75PitChance,PitStrategy75FuelOnlyChance,PitStrategy75TwoTyresChance,PitStrategy75FourTyresChance,PitStrategy50PitChance,PitStrategy50FuelOnlyChance,PitStrategy50TwoTyresChance,PitStrategy50FourTyresChance,PitStrategy25PitChance,PitStrategy25FuelOnlyChance,PitStrategy25TwoTyresChance,PitStrategy25FourTyresChance,PitStrategy0FuelOnlyChance,PitStrategy0TwoTyresChance,PitStrategy0FourTyresChance,PitStrategy0PitChance,CanSwitchFromStagnantRacingLine,StayBehindRegionScaled,StateMachineWeightingOvertake,StateMachineWeightingBumpDraft,StayAlongsideGap,StayBehindRegion,ThrottleLiftToleranceDeg
AIRACINGTRACKCONFIG_c,2583,,2583,0x114C,2583,-1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.5, 0.25)","CatchupWantSpeedModifier0_c(0.87, 0.88)","CatchupWantSpeedModifier1_c(0.9, 0.91)","CatchupWantSpeedModifier2_c(0.95, 0.96)","CatchupWantSpeedModifier3_c(0.99, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.5, 0.25)",0.0,0.1,0.2,0.7,0.2,0.0,0.2,0.8,0.8,0.0,0.1,0.9,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,1,1,1.0,0.5,10.0
AIRACINGTRACKCONFIG_c,2584,,2584,0x1230,2584,1,False,True,False,False,"PABBMaxInflationZ_c(10.0, 10.0)",2,"BumpDraftingRoadStraightness_c(0.5, 0.25)","CatchupWantSpeedModifier0_c(0.81, 0.865)","CatchupWantSpeedModifier1_c(0.84, 0.92)","CatchupWantSpeedModifier2_c(0.9, 0.96)","CatchupWantSpeedModifier3_c(0.94, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.5, 0.25)",0.05,0.5,0.05,0.45,0.4,0.25,0.05,0.7,0.9,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,1.0,1,1,1.0,3.0,10.0
AIRACINGTRACKCONFIG_c,2799,,2799,0x1314,2799,1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.5, 0.25)","CatchupWantSpeedModifier0_c(0.84, 0.89)","CatchupWantSpeedModifier1_c(0.87, 0.92)","CatchupWantSpeedModifier2_c(0.91, 0.96)","CatchupWantSpeedModifier3_c(0.93, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.5, 0.25)",0.0,0.05,0.65,0.3,0.4,0.05,0.35,0.65,0.9,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,10.0
AIRACINGTRACKCONFIG_c,2800,,2800,0x13F8,2800,1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.5, 0.25)","CatchupWantSpeedModifier0_c(0.82, 0.88)","CatchupWantSpeedModifier1_c(0.86, 0.93)","CatchupWantSpeedModifier2_c(0.9, 0.97)","CatchupWantSpeedModifier3_c(0.925, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.5, 0.25)",0.0,0.05,0.65,0.3,0.2,0.0,0.25,0.75,0.8,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,10.0
AIRACINGTRACKCONFIG_c,2801,,2801,0x14DC,2801,1,True,False,True,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.3, 0.3)","CatchupWantSpeedModifier0_c(0.83, 0.85)","CatchupWantSpeedModifier1_c(0.87, 0.89)","CatchupWantSpeedModifier2_c(0.9, 0.94)","CatchupWantSpeedModifier3_c(0.9985, 1.0)",True,False,True,"BumpdraftPlayerRoadStraightness_c(0.3, 0.3)",0.0,0.75,0.2,0.05,0.4,0.6,0.3,0.1,0.8,0.25,0.45,0.3,1.0,0.05,0.25,0.7,0.0,0.1,0.9,1.0,True,0.5,1,3,1.0,0.5,10.0
AIRACINGTRACKCONFIG_c,4010,,4010,0x15C0,4010,1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.5, 0.25)","CatchupWantSpeedModifier0_c(0.85, 0.9)","CatchupWantSpeedModifier1_c(0.88, 0.93)","CatchupWantSpeedModifier2_c(0.92, 0.97)","CatchupWantSpeedModifier3_c(0.95, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.5, 0.25)",0.0,0.05,0.65,0.3,0.4,0.0,0.25,0.75,0.9,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,10.0
AIRACINGTRACKCONFIG_c,6885,,6885,0x16A4,6885,-1,True,True,False,False,"PABBMaxInflationZ_c(10.0, 10.0)",2,"BumpDraftingRoadStraightness_c(0.5, 0.25)","CatchupWantSpeedModifier0_c(0.81, 0.86)","CatchupWantSpeedModifier1_c(0.83, 0.9)","CatchupWantSpeedModifier2_c(0.88, 0.96)","CatchupWantSpeedModifier3_c(0.93, 1.0)",True,True,False,"BumpdraftPlayerRoadStraightness_c(0.5, 0.25)",0.05,0.5,0.05,0.45,0.4,0.25,0.05,0.7,0.9,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,1.0,10,1,1.0,5.0,10.0
AIRACINGTRACKCONFIG_c,6924,,6924,0x1788,6924,-1,True,False,True,True,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.5, 0.25)","CatchupWantSpeedModifier0_c(0.85, 0.91)","CatchupWantSpeedModifier1_c(0.88, 0.94)","CatchupWantSpeedModifier2_c(0.93, 0.975)","CatchupWantSpeedModifier3_c(0.955, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.5, 0.25)",0.0,0.05,0.65,0.3,0.4,0.0,0.25,0.75,0.9,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,10.0
AIRACINGTRACKCONFIG_c,6925,,6925,0x186C,6925,-1,True,False,True,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.3, 0.3)","CatchupWantSpeedModifier0_c(0.83, 0.85)","CatchupWantSpeedModifier1_c(0.87, 0.89)","CatchupWantSpeedModifier2_c(0.9, 0.94)","CatchupWantSpeedModifier3_c(0.9985, 1.0)",True,False,True,"BumpdraftPlayerRoadStraightness_c(0.3, 0.3)",0.75,0.1,0.2,0.05,0.4,0.6,0.4,0.1,0.8,0.25,0.45,0.3,0.8,0.05,0.25,0.7,0.0,0.1,0.9,1.0,True,0.5,1,3,1.0,0.5,10.0
AIRACINGTRACKCONFIG_c,6926,,6926,0x1950,6926,-1,True,False,True,True,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.5, 0.25)","CatchupWantSpeedModifier0_c(0.86, 0.89)","CatchupWantSpeedModifier1_c(0.88, 0.94)","CatchupWantSpeedModifier2_c(0.92, 0.97)","CatchupWantSpeedModifier3_c(0.94, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.5, 0.25)",0.0,0.15,0.6,0.25,0.4,0.0,0.45,0.55,0.9,0.0,0.15,0.85,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,10.0
