class,uid,assigned_type,assigned_key,call_offset,UID,DRIVER,NUMBER,TEAM,Livery,Pin,InteriorConfig,DriverImages,Selectable,AIDriverProfile,Series,BaseArcName,LastWonSprintCup
DRIVERCONFIG_c,2407,,2407,0x168E2,2407,"DRIVER_c(2382, S_DRIVER_CUSTOM_CHEVROLET, None, True, S_HT_PHOENIX, 129762588, True, , 129106177, False, False)","DRIVERNUMBER_c(2443, W:\nas2\Hud\NEW\numbers\53-CHEVROLET_01.tga, 35_CUSTOMCHEVROLET)","RACETEAM_c(2403, S_TEAM_CUSTOM_CHEVROLET, None, )",None,"DRIVERPIN_c(4232, S_MANU_CHEVROLET, CHEVROLET)","DRIVERINTERIORCONFIG_c(2381, 1, None, None)",DRIVERPORTRAIT_c(7481),False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(6955, S_SERIES_SPRINT_CUP, 6956, IMGSPRINTCUP2011.ARC, [], [], 2011, True, None)",CUSTOMCHEVROLET,129106177
DRIVERCONFIG_c,2408,,2408,0x16915,2408,"DRIVER_c(2383, S_DRIVER_CUSTOM_DODGE, None, True, S_HT_PHOENIX, 129762588, True, , 129106177, False, False)","DRIVERNUMBER_c(2444, W:\nas2\Hud\NEW\numbers\50-DODGE.tga, 50_CUSTOMDODGE)","RACETEAM_c(2404, S_TEAM_CUSTOM_DODGE, None, )",None,"DRIVERPIN_c(4233, S_MANU_DODGE, DODGE)","DRIVERINTERIORCONFIG_c(2381, 1, None, None)",DRIVERPORTRAIT_c(7482),False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(6955, S_SERIES_SPRINT_CUP, 6956, IMGSPRINTCUP2011.ARC, [], [], 2011, True, None)",CUSTOMDODGE,129106177
DRIVERCONFIG_c,2409,,2409,0x16948,2409,"DRIVER_c(2384, S_DRIVER_CUSTOM_FORD, None, True, S_HT_PHOENIX, 130090268, True, , 129106177, False, False)","DRIVERNUMBER_c(2445, W:\nas2\Hud\NEW\numbers\62-FORD.tga, 62_CUSTOMFORD)","RACETEAM_c(2405, S_TEAM_CUSTOM_FORD, None, )",None,"DRIVERPIN_c(4234, S_MANU_FORD, FORD)","DRIVERINTERIORCONFIG_c(2381, 1, None, None)",DRIVERPORTRAIT_c(7483),False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(6955, S_SERIES_SPRINT_CUP, 6956, IMGSPRINTCUP2011.ARC, [], [], 2011, True, None)",CUSTOMFORD,129106177
DRIVERCONFIG_c,2410,,2410,0x1697B,2410,"DRIVER_c(2385, S_DRIVER_CUSTOM_TOYOTA, None, True, S_HT_PHOENIX, 129762588, True, , 129106177, False, False)","DRIVERNUMBER_c(2446, W:\nas2\Hud\NEW\numbers\76-TOYOTA.tga, 76_CUSTOMTOYOTA)","RACETEAM_c(2406, S_TEAM_CUSTOM_TOYOTA, None, )",None,"DRIVERPIN_c(4235, S_MANU_TOYOTA, TOYOTA)","DRIVERINTERIORCONFIG_c(2381, 1, None, None)",DRIVERPORTRAIT_c(7484),False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(6955, S_SERIES_SPRINT_CUP, 6956, IMGSPRINTCUP2011.ARC, [], [], 2011, True, None)",CUSTOMTOYOTA,129106177
DRIVERCONFIG_c,2492,,2492,0x169AE,2492,"DRIVER_c(2491, S_DEFAULT_PLAYER_NAME, None, True, S_HT_PHOENIX, 129762588, True, , 129106177, False, False)","DRIVERNUMBER_c(2493, W:\nas2\Hud\NEW\numbers\53-CHEVROLET_01.tga, 35_CUSTOMGENERIC)","RACETEAM_c(2495, S_DEFAULT_TEAM_NAME, None, )","LIVERIE_c(12602, TELEMETRYCHEVROLET, BaseColour_c(0, 0, 180), S_LIV_PRIMARY, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(4232, S_MANU_CHEVROLET, CHEVROLET)","DRIVERINTERIORCONFIG_c(2381, 1, None, None)",DRIVERPORTRAIT_c(7485),True,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",CUSTOMGENERIC,129106177
DRIVERCONFIG_c,6411,,6411,0x169E1,6411,None,None,None,None,"DRIVERPIN_c(4234, S_MANU_FORD, FORD)",None,None,False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(6955, S_SERIES_SPRINT_CUP, 6956, IMGSPRINTCUP2011.ARC, [], [], 2011, True, None)",HALLOFFAME,129106177
DRIVERCONFIG_c,6412,,6412,0x16A14,6412,None,None,None,None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)",None,None,False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(6955, S_SERIES_SPRINT_CUP, 6956, IMGSPRINTCUP2011.ARC, [], [], 2011, True, None)",NASCARDOTCOM,129106177
DRIVERCONFIG_c,7743,,7743,0x16A47,7743,None,None,None,None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)",None,None,False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",ROUSHYATES,129106177
DRIVERCONFIG_c,9621,,9621,0x16A7A,9621,"DRIVER_c(1115, S_DRIVER_B_KESELOWSKI, None, False, S_HT_ROCHESTERHILLS, 130023948, True, keselowski, 131793153, True, False)","DRIVERNUMBER_c(9691, W:\NAS2\Hud\2012\numbers\2_Keselowski.tga, 2_BRADKESELOWSKI)","RACETEAM_c(1336, S_TEAM_PR_01, None, penskeracing)","LIVERIE_c(7087, BRADKESELOWSKI, BaseColour_c(0, 0, 0), S_SCHEME_BLUEDEUCE, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12423, 1, None, None)",DRIVERPORTRAIT_c(7415),True,AIRACEDRIVERPROFILE_c(3237),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_KESELOWSKI,129106177
DRIVERCONFIG_c,9622,,9622,0x16AAD,9622,"DRIVER_c(5758, S_DRIVER_D_PATRICK, None, False, S_HT_BELOIT, 129893145, False, DanicaPatrick, 129106177, False, False)","DRIVERNUMBER_c(9705, W:\NAS2\Hud\2012\numbers\10_Patrick.tga, 10_DANICAPATRICK)","RACETEAM_c(1351, S_TEAM_SHR, None, StewartHaasRcng)","LIVERIE_c(7091, DANICAPATRICK, BaseColour_c(13, 255, 73), S_SCHEME_DARLINGTON, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12425, 1, None, None)",DRIVERPORTRAIT_c(7407),True,AIRACEDRIVERPROFILE_c(6922),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_PATRICK,129106177
DRIVERCONFIG_c,9623,,9623,0x16AE0,9623,"DRIVER_c(1101, S_DRIVER_C_EDWARDS, None, False, S_HT_COLUMBIA, 129697807, True, , 131793153, True, False)","DRIVERNUMBER_c(9701, W:\NAS2\Hud\2012\numbers\99_Edwards.tga, 99_CARLEDWARDS)","RACETEAM_c(1331, S_TEAM_RFR, None, roushfenway)","LIVERIE_c(7089, CARLEDWARDS, BaseColour_c(0, 0, 0), S_SCHEME_DAYTONA, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2655, 1, None, None)",DRIVERPORTRAIT_c(7411),True,AIRACEDRIVERPROFILE_c(3267),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_EDWARDS,129106177
