class,uid,assigned_type,assigned_key,call_offset,UID,ScriptName,BaseColour,Name,Driver,DefaultLocked,Custom,Package,Cost,World,Rookie,Season,InSeasonPass,SteamID
LIVERIE_c,7084,,7084,0x12ECB,7084,ARICALMIROLA,"BaseColour_c(248, 155, 71)",S_SCHEME_ALLSTAR,"DRIVER_c(1084, S_DRIVER_A_ALMIROLA, None, False, S_HT_TAMPA, 130024206, True, aric_almirola, 129106177, True, False)",False,False,DLCPACKAGE_c(7581),0,None,False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",False,0
LIVERIE_c,7086,,7086,0x12F10,7086,BOBBYLABONTE,"BaseColour_c(217, 0, 0)",S_SCHEME_VEGAS,"DRIVER_c(1116, S_DRIVER_B_LABONTE, None, False, S_HT_C_CHRISTI, 128713992, True, Bobby_Labonte, 129106177, False, False)",False,False,DLCPACKAGE_c(7581),0,"WORLDSCRIPT_c(2776, 2777, S_WORLD_LAS_VEGAS, 20.0, 1.5, None, S_WORLD_LOC_LAS_VEGAS, None, None, False, 18, 37, 142000, 130812675, [], 29.924, None, S_DRIVER_J_JOHNSON, S_TH_GORDON_MARTIN, S_DRIVER_K_KAHNE, S_DRIVER_M_MARTIN, False, S_TB_VEGAS, 12.0, 30.0, True, 32.906, 31.475, 30.045, 190.456, 146.554, 69, False, None, S_DRIVER_M_MARTIN, [], 30.945, 31.876, 32.987, 10.0, 35.0, 35.397, 34.123, 32.676, 31.676, 0.97, Las Vegas)",False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",False,0
LIVERIE_c,7087,,7087,0x12F55,7087,BRADKESELOWSKI,"BaseColour_c(0, 0, 0)",S_SCHEME_BLUEDEUCE,"DRIVER_c(1115, S_DRIVER_B_KESELOWSKI, None, False, S_HT_ROCHESTERHILLS, 130023948, True, keselowski, 131793153, True, False)",False,False,DLCPACKAGE_c(7581),0,None,False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",False,0
LIVERIE_c,7089,,7089,0x12F9A,7089,CARLEDWARDS,"BaseColour_c(0, 0, 0)",S_SCHEME_DAYTONA,"DRIVER_c(1101, S_DRIVER_C_EDWARDS, None, False, S_HT_COLUMBIA, 129697807, True, , 131793153, True, False)",False,False,DLCPACKAGE_c(7581),0,"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, None, False, 10, 31, 168000, 128385558, [], 47.816879, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, S_TB_DAYTONA, 15.0, 22.0, False, 54.135, 51.781, 49.428, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 49.149963, 52.916748, 54.916748, 12.0, 27.0, 56.883789, 55.383667, 52.383545, 48.800073, 0.97, Daytona)",False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",False,0
LIVERIE_c,7091,,7091,0x12FDF,7091,DANICAPATRICK,"BaseColour_c(13, 255, 73)",S_SCHEME_DARLINGTON,"DRIVER_c(5758, S_DRIVER_D_PATRICK, None, False, S_HT_BELOIT, 129893145, False, DanicaPatrick, 129106177, False, False)",False,False,DLCPACKAGE_c(7581),0,"WORLDSCRIPT_c(1631, 1632, S_WORLD_DARLINGTON, 25.0, 1.366, None, S_WORLD_LOC_DARLINGTON, None, None, False, 9, 30, 68000, 127796243, [], 27.831, None, S_HDRIVER_D_PEARSON, S_HDRIVER_R_PETTY, S_DRIVER_K_BUSCH_01, S_DRIVER_M_KENSETH, False, S_TB_DARLINGTON, 20.0, 23.0, False, 31.354, 29.99, 28.627, 181.918, 141.383, 62, False, None, S_DRIVER_B_ELLIOT, [], 29.285, 30.821, 32.224, 19.0, 28.0, 34.178, 32.984, 31.875, 30.175, 0.99, Darlington)",False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",False,0
LIVERIE_c,7092,,7092,0x13024,7092,DAVIDGILLILAND,"BaseColour_c(248, 248, 248)",S_SCHEME_CHARLOTTE,"DRIVER_c(1104, S_DRIVER_D_GILLILAND, None, False, S_HT_RIVERSIDE, 129500161, True, DavidGilliland, 129106177, False, False)",False,False,DLCPACKAGE_c(7581),0,"WORLDSCRIPT_c(1528, 1529, S_WORLD_CHARLOTTE, 24.0, 1.5, None, S_WORLD_LOC_CHARLOTTE, None, None, False, 6, 38, 134000, 128452115, [], 28.845, None, S_DRIVER_J_JOHNSON, S_TH_ALLISON_PETTY, S_DRIVER_G_BIFFLE, S_DRIVER_J_GORDON, False, S_TB_LOWES, 20.0, 25.0, True, 33.112, 31.672, 30.233, 193.708, 160.682, 70, False, None, S_HDRIVER_R_PETTY, [], 29.888, 30.943, 32.653, 19.0, 30.0, 34.476, 32.854, 31.653, 30.354, 0.98, Lowes)",False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",False,0
LIVERIE_c,7096,,7096,0x13069,7096,DENNYHAMLIN,"BaseColour_c(0, 0, 0)",S_SCHEME_DAYTONA,"DRIVER_c(1107, S_DRIVER_D_HAMLIN, None, False, S_HT_CHESTERFIELD, 129764114, True, dennyhamlin, 131793153, False, True)",False,False,DLCPACKAGE_c(7581),0,"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, None, False, 10, 31, 168000, 128385558, [], 47.816879, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, S_TB_DAYTONA, 15.0, 22.0, False, 54.135, 51.781, 49.428, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 49.149963, 52.916748, 54.916748, 12.0, 27.0, 56.883789, 55.383667, 52.383545, 48.800073, 0.97, Daytona)",False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",False,0
LIVERIE_c,7097,,7097,0x130AE,7097,DENNYHAMLINFOURTH,"BaseColour_c(0, 0, 0)",S_SCHEME_PHOENIX,"DRIVER_c(1107, S_DRIVER_D_HAMLIN, None, False, S_HT_CHESTERFIELD, 129764114, True, dennyhamlin, 131793153, False, True)",False,False,DLCPACKAGE_c(7581),0,"WORLDSCRIPT_c(1657, 1658, S_WORLD_PHOENIX, 11.0, 1.0, None, S_WORLD_LOC_PHOENIX, None, None, False, 22, 42, 67000, 130288390, [], 27.734, None, S_DRIVER_J_JOHNSON, S_DRIVER_J_JOHNSON, S_DRIVER_K_BUSCH_02, S_DRIVER_T_STEWART, False, S_TB_PHOENIX, 19.0, 35.0, False, 30.354, 29.035, 27.715, 138.766, 118.132, 74, False, None, S_DRIVER_M_MARTIN, [], 28.978, 30.334, 31.575, 23.0, 27.0, 33.589, 32.275, 30.956, 29.675, 0.97, Phoenix)",False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",False,0
LIVERIE_c,7098,,7098,0x130F3,7098,DENNYHAMLINSECOND,"BaseColour_c(0, 0, 0)",S_SCHEME_BRISTOL,"DRIVER_c(1107, S_DRIVER_D_HAMLIN, None, False, S_HT_CHESTERFIELD, 129764114, True, dennyhamlin, 131793153, False, True)",False,False,DLCPACKAGE_c(7581),0,"WORLDSCRIPT_c(1858, 1859, S_WORLD_BRISTOL, 30.0, 0.533, None, S_WORLD_LOC_BRISTOL, None, None, False, 4, 27, 160000, 128517918, [], 15.678, None, S_HDRIVER_D_WALTRIP, S_HDRIVER_PETTYWALTRIP, S_DRIVER_K_BUSCH_02, S_HDRIVER_C_GLOTZBACH, False, S_TB_BRISTOL, 22.0, 26.0, True, 17.871, 17.094, 16.317, 129.535, 101.074, 59, False, None, S_HDRIVER_R_PETTY, [], 16.542, 17.286, 18.134, 19.0, 22.0, 19.345, 18.523, 17.624, 16.765, 0.98, Bristol Night)",False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",False,0
LIVERIE_c,7099,,7099,0x13138,7099,DENNYHAMLINTHIRD,"BaseColour_c(0, 0, 0)",S_SCHEME_VEGAS,"DRIVER_c(1107, S_DRIVER_D_HAMLIN, None, False, S_HT_CHESTERFIELD, 129764114, True, dennyhamlin, 131793153, False, True)",False,False,DLCPACKAGE_c(7581),0,"WORLDSCRIPT_c(2776, 2777, S_WORLD_LAS_VEGAS, 20.0, 1.5, None, S_WORLD_LOC_LAS_VEGAS, None, None, False, 18, 37, 142000, 130812675, [], 29.924, None, S_DRIVER_J_JOHNSON, S_TH_GORDON_MARTIN, S_DRIVER_K_KAHNE, S_DRIVER_M_MARTIN, False, S_TB_VEGAS, 12.0, 30.0, True, 32.906, 31.475, 30.045, 190.456, 146.554, 69, False, None, S_DRIVER_M_MARTIN, [], 30.945, 31.876, 32.987, 10.0, 35.0, 35.397, 34.123, 32.676, 31.676, 0.97, Las Vegas)",False,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",False,0
