class,uid,assigned_type,assigned_key,call_offset,UID,RaceSeries,RaceType,RaceStart,RaceRoute,RaceCar,RaceLaps,NumDrivers,ID,RaceEvent,EventName,GridOrder,DamageMode,NumberInSeries,RaceRosterOverride,RaceTrophy,TelemetryEventData,RaceDate,WearAndTear,EventSchedule,MinTrackTemp,MaxTrackTemp,MinAmbientTemp,MaxAmbientTemp,Difficulty,QualifyingLaps,IntroCutscene,AltAdvertising,FakeRaceData,RaceRosterOverride2,RaceRosterOverride3,InfieldOverride,UseDifficultyOverride,OverrideDiff_Easy,OverrideDiff_Norm,OverrideDiff_Hard,OverrideDiff_Champ
RACEDATA_c,1253,,1253,0x193F,1253,"RACESERIES_c(1080, S_SERIES_SPRINT_CUP, 1194, IMGSPRINTCUP.ARC, [], [], 2010, True, None)","RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",2,1,1254,"EVENT_c(1460, cr000, S_WORLD_DOVER, dover, None)",S_BLANK,"GRIDORDER_c(1717, QUALIFIED, 43)",FULL,-1,[],None,None,131072257,1,[],10.0,40.0,15.0,30.0,NORMAL,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Norm_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)","OverrideDiff_Champ_c(0.0, 1.0)"
RACEDATA_c,3414,,3414,0x19EA,3414,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)","RACETYPE_c(3412, 3413, S_IVT_SOLO_THUNDER)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",5,1,3415,"EVENT_c(5419, cr000, S_WORLD_KENTUCKY, Kentucky, None)",S_IVT_SOLO_THUNDER,"GRIDORDER_c(1717, QUALIFIED, 43)",COSMETIC,-1,[],None,None,131859996,1,[],10.0,40.0,15.0,30.0,NORMAL,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Norm_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)","OverrideDiff_Champ_c(0.0, 1.0)"
RACEDATA_c,3603,,3603,0x1A95,3603,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)","RACETYPE_c(3412, 3413, S_IVT_SOLO_THUNDER)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",5,1,3604,"EVENT_c(1226, cr000, S_WORLD_CHICAGOLAND, chicagoland, None)",S_IVT_SOLO_THUNDER,"GRIDORDER_c(1717, QUALIFIED, 43)",COSMETIC,-1,[],None,None,131860749,1,[],10.0,40.0,15.0,30.0,NORMAL,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Norm_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)","OverrideDiff_Champ_c(0.0, 1.0)"
RACEDATA_c,3608,,3608,0x1B40,3608,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)","RACETYPE_c(3606, 3607, S_IVT_GAUNTLET)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",4,43,3609,"EVENT_c(1210, cr000, S_WORLD_POCONO, pocono, None)",S_IVT_GAUNTLET,"GRIDORDER_c(1717, QUALIFIED, 43)",COSMETIC,-1,[],None,None,131859736,1,[],10.0,40.0,15.0,30.0,NORMAL,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Norm_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)","OverrideDiff_Champ_c(0.0, 1.0)"
RACEDATA_c,3651,,3651,0x1BEB,3651,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)","RACETYPE_c(3646, 3647, S_IVT_CHAMPIONSHIP_SHOWDOWN)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",10,43,3652,"EVENT_c(1050, cr000, S_EVENT_AUTOCLUB, autoclub, None)",,"GRIDORDER_c(3657, SERIES_STANDINGS, 43)",FULL,-1,[],None,None,131072257,1,[],10.0,40.0,15.0,30.0,NORMAL,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Norm_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)","OverrideDiff_Champ_c(0.0, 1.0)"
RACEDATA_c,5351,,5351,0x1C96,5351,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)","RACETYPE_c(1785, 1786, S_ETN_ELIMINATOR)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",2,10,5352,"EVENT_c(1050, cr000, S_EVENT_AUTOCLUB, autoclub, None)",S_ETN_ELIMINATOR,"GRIDORDER_c(1724, PREDEFINED, 30)",FULL,-1,"[DRIVERCONFIG_c(9652, None, None, None, None, None, None, None, True, None, None, 2012_ALMIROLA, 129106177), DRIVERCONFIG_c(9662, None, None, None, None, None, None, None, True, None, None, 2012_BAYNE, 129106177), DRIVERCONFIG_c(11438, None, None, None, None, None, None, None, True, None, None, 2012_BLANEY, 129106177), DRIVERCONFIG_c(9623, None, None, None, None, None, None, None, True, None, None, 2012_EDWARDS, 129106177), DRIVERCONFIG_c(9640, None, None, None, None, None, None, None, True, None, None, 2012_GILLILAND, 129106177), DRIVERCONFIG_c(9661, None, None, None, None, None, None, None, True, None, None, 2012_KVAPIL, 129106177), DRIVERCONFIG_c(11441, None, None, None, None, None, None, None, True, None, None, 2012_MEARS, 129106177), DRIVERCONFIG_c(11437, None, None, None, None, None, None, None, True, None, None, 2012_NEMECHEK, 129106177), DRIVERCONFIG_c(9659, None, None, None, None, None, None, None, True, None, None, 2012_WISE, 129106177)]",None,None,131859222,1,[],10.0,40.0,15.0,30.0,NORMAL,2,,False,False,"[DRIVERCONFIG_c(9621, None, None, None, None, None, None, None, True, None, None, 2012_KESELOWSKI, 129106177), DRIVERCONFIG_c(9654, None, None, None, None, None, None, None, True, None, None, 2012_MCMURRAY, 129106177), DRIVERCONFIG_c(9626, None, None, None, None, None, None, None, True, None, None, 2012_MENARD, 129106177), DRIVERCONFIG_c(9622, None, None, None, None, None, None, None, True, None, None, 2012_PATRICK, 129106177), DRIVERCONFIG_c(9656, None, None, None, None, None, None, None, True, None, None, 2012_RAGAN, 129106177), DRIVERCONFIG_c(10527, None, None, None, None, None, None, None, True, None, None, 2012_SMITHREGAN, 129106177), DRIVERCONFIG_c(9637, None, None, None, None, None, None, None, True, None, None, 2012_STENHOUSE, 129106177), DRIVERCONFIG_c(9624, None, None, None, None, None, None, None, True, None, None, 2012_TRUEXMARTIN, 129106177), DRIVERCONFIG_c(18327, None, None, None, None, None, None, None, False, None, None, 2013_HORNISHJR, 129106177)]","[DRIVERCONFIG_c(9648, None, None, None, None, None, None, None, True, None, None, 2012_BIFFLE, 129106177), DRIVERCONFIG_c(9650, None, None, None, None, None, None, None, True, None, None, 2012_BOWYER, 129106177), DRIVERCONFIG_c(9647, None, None, None, None, None, None, None, True, None, None, 2012_BUSCHKYLE, 129106177), DRIVERCONFIG_c(9653, None, None, None, None, None, None, None, True, None, None, 2012_GORDONJEFF, 129106177), DRIVERCONFIG_c(9629, None, None, None, None, None, None, None, True, None, None, 2012_HAMLIN, 129106177), DRIVERCONFIG_c(9631, None, None, None, None, None, None, None, True, None, None, 2012_HARVICK, 129106177), DRIVERCONFIG_c(9635, None, None, None, None, None, None, None, True, None, None, 2012_JOHNSON, 131727617), DRIVERCONFIG_c(9636, None, None, None, None, None, None, None, True, None, None, 2012_KENSETH, 131268865), DRIVERCONFIG_c(9639, None, None, None, None, None, None, None, True, None, None, 2012_STEWART, 131793153)]",None,False,"OverrideDiff_Easy_c(0.86, 0.89)","OverrideDiff_Norm_c(0.87, 0.915)","OverrideDiff_Hard_c(0.89, 0.96)","OverrideDiff_Champ_c(0.94, 1.0)"
RACEDATA_c,5357,,5357,0x1D41,5357,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)","RACETYPE_c(1785, 1786, S_ETN_ELIMINATOR)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",2,10,5358,"EVENT_c(1860, cr000, S_EVENT_BRISTOL_NIGHT, bristol, None)",S_ETN_ELIMINATOR,"GRIDORDER_c(1724, PREDEFINED, 30)",FULL,-1,"[DRIVERCONFIG_c(9639, None, None, None, None, None, None, None, True, None, None, 2012_STEWART, 131793153), DRIVERCONFIG_c(9641, None, None, None, None, None, None, None, True, None, None, 2012_KAHNE, 129106177), DRIVERCONFIG_c(9658, None, None, None, None, None, None, None, True, None, None, 2012_AMBROSE, 129106177), DRIVERCONFIG_c(9622, None, None, None, None, None, None, None, True, None, None, 2012_PATRICK, 129106177), DRIVERCONFIG_c(11436, None, None, None, None, None, None, None, True, None, None, 2012_SPEED, 129106177), DRIVERCONFIG_c(11439, None, None, None, None, None, None, None, True, None, None, 2012_CASSILL, 129106177), DRIVERCONFIG_c(9621, None, None, None, None, None, None, None, True, None, None, 2012_KESELOWSKI, 129106177), DRIVERCONFIG_c(9660, None, None, None, None, None, None, None, True, None, None, 2012_BUSCHKURT, 131334401), DRIVERCONFIG_c(18312, None, None, None, None, None, None, None, True, None, None, 2013_NEMECHEK, 129106177)]",None,None,131860503,1,[],10.0,40.0,15.0,30.0,NORMAL,2,,False,False,"[DRIVERCONFIG_c(9652, None, None, None, None, None, None, None, True, None, None, 2012_ALMIROLA, 129106177), DRIVERCONFIG_c(11438, None, None, None, None, None, None, None, True, None, None, 2012_BLANEY, 129106177), DRIVERCONFIG_c(9650, None, None, None, None, None, None, None, True, None, None, 2012_BOWYER, 129106177), DRIVERCONFIG_c(9660, None, None, None, None, None, None, None, True, None, None, 2012_BUSCHKURT, 131334401), DRIVERCONFIG_c(9623, None, None, None, None, None, None, None, True, None, None, 2012_EDWARDS, 129106177), DRIVERCONFIG_c(9653, None, None, None, None, None, None, None, True, None, None, 2012_GORDONJEFF, 129106177), DRIVERCONFIG_c(12591, None, None, None, None, None, None, None, True, None, None, 2012_HORNISHJR, 129106177), DRIVERCONFIG_c(9621, None, None, None, None, None, None, None, True, None, None, 2012_KESELOWSKI, 129106177), DRIVERCONFIG_c(9656, None, None, None, None, None, None, None, True, None, None, 2012_RAGAN, 129106177)]","[DRIVERCONFIG_c(9645, None, None, None, None, None, None, None, True, None, None, 2012_BURTON, 129106177), DRIVERCONFIG_c(9647, None, None, None, None, None, None, None, True, None, None, 2012_BUSCHKYLE, 129106177), DRIVERCONFIG_c(9623, None, None, None, None, None, None, None, True, None, None, 2012_EDWARDS, 129106177), DRIVERCONFIG_c(9653, None, None, None, None, None, None, None, True, None, None, 2012_GORDONJEFF, 129106177), DRIVERCONFIG_c(9629, None, None, None, None, None, None, None, True, None, None, 2012_HAMLIN, 129106177), DRIVERCONFIG_c(9631, None, None, None, None, None, None, None, True, None, None, 2012_HARVICK, 129106177), DRIVERCONFIG_c(9635, None, None, None, None, None, None, None, True, None, None, 2012_JOHNSON, 131727617), DRIVERCONFIG_c(9636, None, None, None, None, None, None, None, True, None, None, 2012_KENSETH, 131268865), DRIVERCONFIG_c(9630, None, None, None, None, None, None, None, True, None, None, 2012_NEWMAN, 129106177)]",None,False,"OverrideDiff_Easy_c(0.81, 0.86)","OverrideDiff_Norm_c(0.85, 0.91)","OverrideDiff_Hard_c(0.89, 0.95)","OverrideDiff_Champ_c(0.94, 1.0)"
RACEDATA_c,5359,,5359,0x1DEC,5359,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)","RACETYPE_c(3606, 3607, S_IVT_GAUNTLET)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",4,43,5360,"EVENT_c(5413, cr000, S_EVENT_DAYTONA_NIGHT, daytona, None)",S_IVT_GAUNTLET,"GRIDORDER_c(1717, QUALIFIED, 43)",COSMETIC,-1,[],None,None,131860228,1,[],10.0,40.0,15.0,30.0,NORMAL,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Norm_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)","OverrideDiff_Champ_c(0.0, 1.0)"
RACEDATA_c,5381,,5381,0x1E97,5381,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)","RACETYPE_c(1785, 1786, S_ETN_ELIMINATOR)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",2,10,5382,"EVENT_c(2524, cr000, S_WORLD_KANSAS_CITY, Kansas, None)",S_ETN_ELIMINATOR,"GRIDORDER_c(1724, PREDEFINED, 30)",FULL,-1,"[DRIVERCONFIG_c(9647, None, None, None, None, None, None, None, True, None, None, 2012_BUSCHKYLE, 129106177), DRIVERCONFIG_c(9623, None, None, None, None, None, None, None, True, None, None, 2012_EDWARDS, 129106177), DRIVERCONFIG_c(9636, None, None, None, None, None, None, None, True, None, None, 2012_KENSETH, 131268865), DRIVERCONFIG_c(9655, None, None, None, None, None, None, None, True, None, None, 2012_MONTOYA, 129106177), DRIVERCONFIG_c(9654, None, None, None, None, None, None, None, True, None, None, 2012_MCMURRAY, 129106177), DRIVERCONFIG_c(9651, None, None, None, None, None, None, None, True, None, None, 2012_MARTIN, 129106177), DRIVERCONFIG_c(9656, None, None, None, None, None, None, None, True, None, None, 2012_RAGAN, 129106177), DRIVERCONFIG_c(9628, None, None, None, None, None, None, None, True, None, None, 2012_LABONTEBOBBY, 129106177), DRIVERCONFIG_c(12591, None, None, None, None, None, None, None, True, None, None, 2012_HORNISHJR, 129106177)]",None,None,131861010,1,[],10.0,40.0,15.0,30.0,NORMAL,2,,False,False,"[DRIVERCONFIG_c(9658, None, None, None, None, None, None, None, True, None, None, 2012_AMBROSE, 129106177), DRIVERCONFIG_c(9645, None, None, None, None, None, None, None, True, None, None, 2012_BURTON, 129106177), DRIVERCONFIG_c(9647, None, None, None, None, None, None, None, True, None, None, 2012_BUSCHKYLE, 129106177), DRIVERCONFIG_c(9643, None, None, None, None, None, None, None, True, None, None, 2012_EARNHARDT, 129106177), DRIVERCONFIG_c(9640, None, None, None, None, None, None, None, True, None, None, 2012_GILLILAND, 129106177), DRIVERCONFIG_c(9636, None, None, None, None, None, None, None, True, None, None, 2012_KENSETH, 131268865), DRIVERCONFIG_c(9651, None, None, None, None, None, None, None, True, None, None, 2012_MARTIN, 129106177), DRIVERCONFIG_c(11441, None, None, None, None, None, None, None, True, None, None, 2012_MEARS, 129106177), DRIVERCONFIG_c(9626, None, None, None, None, None, None, None, True, None, None, 2012_MENARD, 129106177)]","[DRIVERCONFIG_c(9645, None, None, None, None, None, None, None, True, None, None, 2012_BURTON, 129106177), DRIVERCONFIG_c(9647, None, None, None, None, None, None, None, True, None, None, 2012_BUSCHKYLE, 129106177), DRIVERCONFIG_c(9623, None, None, None, None, None, None, None, True, None, None, 2012_EDWARDS, 129106177), DRIVERCONFIG_c(9653, None, None, None, None, None, None, None, True, None, None, 2012_GORDONJEFF, 129106177), DRIVERCONFIG_c(9629, None, None, None, None, None, None, None, True, None, None, 2012_HAMLIN, 129106177), DRIVERCONFIG_c(9631, None, None, None, None, None, None, None, True, None, None, 2012_HARVICK, 129106177), DRIVERCONFIG_c(9635, None, None, None, None, None, None, None, True, None, None, 2012_JOHNSON, 131727617), DRIVERCONFIG_c(9636, None, None, None, None, None, None, None, True, None, None, 2012_KENSETH, 131268865), DRIVERCONFIG_c(9630, None, None, None, None, None, None, None, True, None, None, 2012_NEWMAN, 129106177)]",None,False,"OverrideDiff_Easy_c(0.82, 0.88)","OverrideDiff_Norm_c(0.86, 0.92)","OverrideDiff_Hard_c(0.9, 0.97)","OverrideDiff_Champ_c(0.925, 1.0)"
RACEDATA_c,5385,,5385,0x1F42,5385,"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)","RACETYPE_c(3412, 3413, S_IVT_SOLO_THUNDER)","RACESTARTTYPE_c(1171, 1172)","RACEROUTETYPE_c(1175, 1176)","CUSTOMCAR_c(7533, 7534)",5,1,5386,"EVENT_c(1659, cr000, S_EVENT_PHOENIX_DAY, phoenix, None)",S_IVT_SOLO_THUNDER,"GRIDORDER_c(1717, QUALIFIED, 43)",COSMETIC,-1,[],None,None,131861256,1,[],10.0,40.0,15.0,30.0,NORMAL,2,,False,False,[],[],None,False,"OverrideDiff_Easy_c(0.0, 1.0)","OverrideDiff_Norm_c(0.0, 1.0)","OverrideDiff_Hard_c(0.0, 1.0)","OverrideDiff_Champ_c(0.0, 1.0)"
