class,uid,assigned_type,assigned_key,call_offset,UID,NAME,MANUFACTURER,Twitter
RACETEAM_c,1325,,1325,0xCA90,1325,S_TEAM_RPM_01,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",RPMotorsports
RACETEAM_c,1326,,1326,0xCAA8,1326,S_TEAM_JTGDR,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",NASCAR47
RACETEAM_c,1327,,1327,0xCAC0,1327,S_TEAM_FRM,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",FrontRowNASCAR
RACETEAM_c,1331,,1331,0xCAD8,1331,S_TEAM_RFR,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",roushfenway
RACETEAM_c,1333,,1333,0xCAF0,1333,S_TEAM_RCR,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",RCRracing
RACETEAM_c,1335,,1335,0xCB08,1335,S_TEAM_JGR,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",joegibbsracing
RACETEAM_c,1336,,1336,0xCB20,1336,S_TEAM_PR_01,"MANUFACTURER_c(1074, S_MANU_DODGE, 1215, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgedodge.tga)",penskeracing
RACETEAM_c,1339,,1339,0xCB38,1339,S_TEAM_HOFR,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",
RACETEAM_c,1340,,1340,0xCB50,1340,S_TEAM_HM,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",TeamHendrick
RACETEAM_c,1341,,1341,0xCB68,1341,S_TEAM_WBR,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",woodbrothers21
RACETEAM_c,1342,,1342,0xCB80,1342,S_TEAM_HSM,"MANUFACTURER_c(1074, S_MANU_DODGE, 1215, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgedodge.tga)",
RACETEAM_c,1343,,1343,0xCB98,1343,S_TEAM_RGM,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",
RACETEAM_c,1344,,1344,0xCBB0,1344,S_TEAM_CSR,"MANUFACTURER_c(1074, S_MANU_DODGE, 1215, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgedodge.tga)",
RACETEAM_c,1345,,1345,0xCBC8,1345,S_TEAM_TRGM,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,1347,,1347,0xCBE0,1347,S_TEAM_TBR,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",TBR_Racing
RACETEAM_c,1349,,1349,0xCBF8,1349,S_TEAM_EGR,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",EGRTeams
RACETEAM_c,1350,,1350,0xCC10,1350,S_TEAM_NM,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",
RACETEAM_c,1351,,1351,0xCC28,1351,S_TEAM_SHR,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",StewartHaasRcng
RACETEAM_c,1352,,1352,0xCC40,1352,S_TEAM_GR,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",GermainRacing
RACETEAM_c,1353,,1353,0xCC58,1353,S_TEAM_MJM,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,1354,,1354,0xCC70,1354,S_TEAM_MWR,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",MWRteam
RACETEAM_c,1355,,1355,0xCC88,1355,S_TEAM_FRR,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",FR78Racing
RACETEAM_c,1357,,1357,0xCCA0,1357,S_TEAM_GM,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",
RACETEAM_c,1358,,1358,0xCCB8,1358,S_TEAM_MMM,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,2403,,2403,0xCCD0,2403,S_TEAM_CUSTOM_CHEVROLET,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,2404,,2404,0xCCE8,2404,S_TEAM_CUSTOM_DODGE,"MANUFACTURER_c(1074, S_MANU_DODGE, 1215, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgedodge.tga)",
RACETEAM_c,2405,,2405,0xCD00,2405,S_TEAM_CUSTOM_FORD,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",
RACETEAM_c,2406,,2406,0xCD18,2406,S_TEAM_CUSTOM_TOYOTA,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",
RACETEAM_c,2495,,2495,0xCD30,2495,S_DEFAULT_TEAM_NAME,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,5762,,5762,0xCD48,5762,S_TEAM_JRM,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,5763,,5763,0xCD60,5763,S_TEAM_BL,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",
RACETEAM_c,5780,,5780,0xCD78,5780,S_TEAM_JJCR,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",
RACETEAM_c,7255,,7255,0xCD90,7255,S_TEAM_KEVIN_HARVIC,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,7486,,7486,0xCDA8,7486,S_TEAM_RGM,"MANUFACTURER_c(1074, S_MANU_DODGE, 1215, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgedodge.tga)",
RACETEAM_c,8739,,8739,0xCDC0,8739,S_TEAM_LFR,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",LeavineFamily95
RACETEAM_c,10516,,10516,0xCDD8,10516,S_TEAM_PHOENIXRACING,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",phoenixracing51
RACETEAM_c,10517,,10517,0xCDF0,10517,S_TEAM_JEFFWARDRACING,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,10518,,10518,0xCE08,10518,S_TEAM_BKRACING,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",BKRacing8393
RACETEAM_c,11444,,11444,0xCE20,11444,S_TEAM_PARSONS,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",
RACETEAM_c,11446,,11446,0xCE38,11446,S_TEAM_ROB_BLAK,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",
RACETEAM_c,12622,,12622,0xCE50,12622,S_TEAM_INCEPTION,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",InceptionRacing
RACETEAM_c,21845,,21845,0xCE68,21845,S_TEAM_SWAN_RACING,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\nas2\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",
