class,uid,assigned_type,assigned_key,call_offset,UID,Name,NumBlocks,Sky,PhysicsOverride,TyreGripInner,TyreGripOuter,EngineHeatingScale
TRACK_c,1000,,1000,0xC1EA,1000,Daytona,4,"SKY_c(2825, DaytonaMidday, DaytonaMidday, 0)",,0.9,1.0,0.6
TRACK_c,1032,,1032,0xC20E,1032,Infineon,4,"SKY_c(2697, InfineonMidday, InfineonMidday, 0)",,1.0,1.0,1.0
TRACK_c,1044,,1044,0xC232,1044,WatkinsGlen,4,"SKY_c(1952, WatkinsGlenMidday, WatkinsGlenMidday, 0)",,1.0,1.0,0.75
TRACK_c,1049,,1049,0xC256,1049,AutoClub,4,"SKY_c(2701, AutoClubSpeedMidday, AutoClubSpeedMidday, 0)",,0.96,1.05,1.15
TRACK_c,1209,,1209,0xC27A,1209,Pocono,4,"SKY_c(4009, PoconoMidday, PoconoMidday, 0)",,1.0,1.03,1.1
TRACK_c,1223,,1223,0xC29E,1223,Chicagoland,4,"SKY_c(12574, ChicagoLandMidday, ChicagoLandMidday, 0)",,0.95,0.98,1.0
TRACK_c,1248,,1248,0xC2C2,1248,Indianapolis,4,"SKY_c(5997, IndianapolisMidday, IndianapolisMidday, 0)",,1.0,1.0,1.0
TRACK_c,1457,,1457,0xC2E6,1457,Dover,4,"SKY_c(1541, Parab, Parab, 0)",,0.98,1.02,1.2
TRACK_c,1526,,1526,0xC30A,1526,Lowes,4,"SKY_c(11239, Lowes, Lowes, 0)",,0.94,0.98,1.0
TRACK_c,1626,,1626,0xC32E,1626,Homestead,4,"SKY_c(1777, HomesteadMidday, HomesteadMidday, 0)",,1.0,1.03,0.95
TRACK_c,1630,,1630,0xC352,1630,Darlington,4,"SKY_c(11227, DarlingtonMidday, DarlingtonMidday, 0)",,0.98,1.0,0.95
TRACK_c,1634,,1634,0xC376,1634,Richmond,4,"SKY_c(9348, RichmondMidday, RichmondMidday, 0)",,0.95,0.98,1.35
TRACK_c,1656,,1656,0xC39A,1656,Phoenix,4,"SKY_c(2531, PhoenixMidday, PhoenixMidday, 0)",,0.98,0.96,1.25
TRACK_c,1668,,1668,0xC3BE,1668,Martinsville,4,"SKY_c(1951, MartinsvilleMidday, MartinsvilleMidday, 0)",,0.98,0.98,0.4
TRACK_c,1688,,1688,0xC3E2,1688,Atlanta,4,"SKY_c(2560, AtlantaDusk, AtlantaDusk, 3)",,1.02,1.07,1.15
TRACK_c,1758,,1758,0xC406,1758,Talladega,4,"SKY_c(2529, TalledegaMidday, TalledegaMidday, 0)",,1.0,1.0,0.6
TRACK_c,1857,,1857,0xC42A,1857,Bristol,4,"SKY_c(2669, BristolNight, BristolNight, 1)",,1.02,1.06,1.1
TRACK_c,2437,,2437,0xC44E,2437,Texas,4,"SKY_c(2714, Texas, Texas, 0)",,0.98,1.06,1.0
TRACK_c,2521,,2521,0xC472,2521,Kansas,4,"SKY_c(2824, KansasMidday, KansasMidday, 0)",,0.98,1.04,1.0
TRACK_c,2525,,2525,0xC496,2525,Michigan,4,"SKY_c(2823, MichiganMidday, MichiganMidday, 0)",,1.02,1.05,1.0
TRACK_c,2629,,2629,0xC4BA,2629,NewHampshire,4,"SKY_c(3993, NewHampshireMidday, NewHampshireMidday, 0)",,1.0,1.02,1.35
TRACK_c,2774,,2774,0xC4DE,2774,LasVegas,4,"SKY_c(4034, LasVegasMidday, LasVegasMidday, 0)",,0.9,1.0,1.0
TRACK_c,5308,,5308,0xC502,5308,BristolDay,4,"SKY_c(5398, BristolMidday, BristolMidday, 0)",Bristol,1.0,1.04,1.1
TRACK_c,5400,,5400,0xC526,5400,PhoenixDusk,4,"SKY_c(5401, PhoenixDusk, PhoenixDusk, 3)",Phoenix,1.0,1.0,1.25
TRACK_c,5405,,5405,0xC54A,5405,AtlantaDay,4,"SKY_c(2530, AtlantaMidday, AtlantaMidday, 0)",Atlanta,1.02,1.07,1.15
TRACK_c,5411,,5411,0xC56E,5411,DaytonaDusk,4,"SKY_c(5412, DaytonaDusk, DaytonaDusk, 3)",daytona,1.0,1.0,0.6
TRACK_c,5416,,5416,0xC592,5416,KentuckyDusk,4,"SKY_c(5932, KentuckyDusk, KentuckyDusk, 3)",Kentucky,1.0,1.05,1.05
TRACK_c,7493,,7493,0xC5B6,7493,TeamShop,1,"SKY_c(1148, Garage, Garage, 0)",,1.0,1.0,1.0
TRACK_c,9724,,9724,0xC5DA,9724,TexasDusk,4,"SKY_c(11427, TexasDusk, TexasDusk, 3)",Texas,0.99,1.07,1.0
TRACK_c,11228,,11228,0xC5FE,11228,DarlingtonDusk,4,"SKY_c(1734, DarlingtonDusk, DarlingtonDusk, 3)",Darlington,0.99,1.02,0.95
TRACK_c,11240,,11240,0xC622,11240,LowesDusk,4,"SKY_c(1735, LowesDusk, LowesDusk, 3)",Lowes,0.95,0.99,1.0
TRACK_c,12288,,12288,0xC646,12288,RichmondDusk,4,"SKY_c(1784, RichmondDusk, RichmondDusk, 3)",Richmond,0.96,0.99,1.35
TRACK_c,12746,,12746,0xC66A,12746,Kentucky,4,"SKY_c(12745, KentuckyMidday, KentuckyMidday, 0)",,1.0,1.05,1.05
