class,uid,assigned_type,assigned_key,call_offset,UID,EventType,EventNumber,PracticeSessionNumber,TrackOverride,TrackTempStart,TrackTempEnd,AltAdvertising
WEEKENDEVENT_c,8429,,8429,0xEBB1,8429,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,27.0,32.0,False
WEEKENDEVENT_c,8430,,8430,0xEBD5,8430,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,None,30.0,35.0,False
WEEKENDEVENT_c,8431,,8431,0xEBF9,8431,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,None,28.0,36.0,False
WEEKENDEVENT_c,8432,,8432,0xEC1D,8432,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",4,-1,None,35.0,27.0,False
WEEKENDEVENT_c,8433,,8433,0xEC41,8433,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,27.0,32.0,False
WEEKENDEVENT_c,8434,,8434,0xEC65,8434,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",2,-1,None,31.0,34.0,False
WEEKENDEVENT_c,8435,,8435,0xEC89,8435,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",3,2,None,22.0,28.0,False
WEEKENDEVENT_c,8436,,8436,0xECAD,8436,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",4,-1,None,30.0,35.0,False
WEEKENDEVENT_c,8442,,8442,0xECD1,8442,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,18.0,24.0,False
WEEKENDEVENT_c,8443,,8443,0xECF5,8443,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",2,-1,None,24.0,29.0,False
WEEKENDEVENT_c,8444,,8444,0xED19,8444,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",3,2,None,22.0,27.0,False
WEEKENDEVENT_c,8445,,8445,0xED3D,8445,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",4,3,None,25.0,30.0,False
WEEKENDEVENT_c,8446,,8446,0xED61,8446,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",5,-1,None,22.0,32.0,False
WEEKENDEVENT_c,8447,,8447,0xED85,8447,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,27.0,33.0,False
WEEKENDEVENT_c,8448,,8448,0xEDA9,8448,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",2,-1,None,28.0,34.0,False
WEEKENDEVENT_c,8449,,8449,0xEDCD,8449,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",3,2,None,22.0,27.0,False
WEEKENDEVENT_c,8450,,8450,0xEDF1,8450,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",4,3,None,26.0,33.0,False
WEEKENDEVENT_c,8451,,8451,0xEE15,8451,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",5,-1,None,26.0,33.0,False
WEEKENDEVENT_c,8452,,8452,0xEE39,8452,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,21.0,27.0,False
WEEKENDEVENT_c,8453,,8453,0xEE5D,8453,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,None,24.0,29.0,False
WEEKENDEVENT_c,8454,,8454,0xEE81,8454,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,None,24.0,29.0,False
WEEKENDEVENT_c,8455,,8455,0xEEA5,8455,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",4,-1,None,23.0,29.0,False
WEEKENDEVENT_c,8456,,8456,0xEEC9,8456,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,"WORLDSCRIPT_c(2438, 2439, S_WORLD_TEXAS, 24.0, 1.5, None, S_WORLD_LOC_TEXAS, None, None, False, 27, 46, 138100, 130876421, [], 28.878, None, S_DRIVER_C_EDWARDS, S_DRIVER_M_KENSETH, S_DRIVER_K_BUSCH_02, S_DRIVER_G_BIFFLE, False, S_TB_TEXAS, 19.0, 27.0, False, 32.458, 31.046, 29.635, 196.299, 160.577, 78, False, None, S_TH_KENSETH_JOHNSON, [], 29.946, 31.487, 32.645, 15.0, 32.0, 34.485, 32.976, 31.846, 30.656, 0.976, Texas)",27.0,34.0,False
WEEKENDEVENT_c,8457,,8457,0xEEED,8457,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,"WORLDSCRIPT_c(2438, 2439, S_WORLD_TEXAS, 24.0, 1.5, None, S_WORLD_LOC_TEXAS, None, None, False, 27, 46, 138100, 130876421, [], 28.878, None, S_DRIVER_C_EDWARDS, S_DRIVER_M_KENSETH, S_DRIVER_K_BUSCH_02, S_DRIVER_G_BIFFLE, False, S_TB_TEXAS, 19.0, 27.0, False, 32.458, 31.046, 29.635, 196.299, 160.577, 78, False, None, S_TH_KENSETH_JOHNSON, [], 29.946, 31.487, 32.645, 15.0, 32.0, 34.485, 32.976, 31.846, 30.656, 0.976, Texas)",29.0,35.0,False
